age,age_onset,filename,native_language,sex,speakerid,country
40,7,arabic24,arabic,male,970,egypt
38,5,arabic25,arabic,male,1011,israel (occupied territory)
43,14,arabic26,arabic,female,1012,jordan
70,10,arabic27,arabic,male,1013,israel
30,12,arabic28,arabic,male,1115,united arab emirates
19,17,arabic29,arabic,male,1116,qatar
24,9,arabic3,arabic,male,17,qatar
19,8,arabic30,arabic,female,1133,saudi arabia
47,12,arabic31,arabic,female,1181,iraq
42,12,arabic32,arabic,male,1203,iraq
28,11,arabic33,arabic,female,1204,iraq
34,6,arabic34,arabic,female,1253,kuwait
56,16,arabic35,arabic,male,1391,saudi arabia
36,6,arabic36,arabic,male,1392,saudi arabia
18,16,arabic37,arabic,male,1393,saudi arabia
19,9,arabic38,arabic,female,1394,usa
22,5,arabic39,arabic,male,1405,saudi arabia
19,6,arabic4,arabic,male,18,united arab emirates
19,13,arabic40,arabic,male,1420,saudi arabia
25,7,arabic41,arabic,male,1421,saudi arabia
21,13,arabic42,arabic,male,1422,saudi arabia
29,8,arabic43,arabic,female,1426,lebanon
29,7,arabic44,arabic,female,1455,saudi arabia
32,12,arabic45,arabic,female,1456,usa
28,13,arabic46,arabic,male,1457,saudi arabia
39,16,arabic47,arabic,male,1458,saudi arabia
29,12,arabic48,arabic,male,1459,saudi arabia
26,8,arabic49,arabic,male,1460,saudi arabia
19,15,arabic5,arabic,female,19,morocco
36,22,arabic50,arabic,male,1461,saudi arabia
23,12,arabic51,arabic,male,1486,saudi arabia
21,9,arabic52,arabic,female,1487,saudi arabia
36,17,arabic53,arabic,male,1526,morocco
22,7,arabic54,arabic,male,1565,iraq
70,33,arabic55,arabic,male,1569,lebanon
43,12,arabic56,arabic,male,1677,algeria
28,17,arabic57,arabic,female,1699,lebanon
34,9,arabic58,arabic,male,1700,iraq
55,9,arabic59,arabic,male,1702,jordan
21,14.5,arabic6,arabic,male,20,yemen
60,14,arabic60,arabic,male,1711,egypt
20,7,arabic61,arabic,male,1753,bahrain
19,18,arabic62,arabic,male,1768,saudi arabia
28,10,arabic63,arabic,female,1769,libya
23,6,arabic64,arabic,male,1777,saudi arabia
32,10,arabic65,arabic,female,1778,oman
50,14,arabic66,arabic,male,1784,saudi arabia
43,22,arabic67,arabic,male,1785,iraq
20,6,arabic68,arabic,male,1805,uk
55,15,arabic69,arabic,female,1810,sudan
18,15,arabic7,arabic,female,21,morocco
47,16,arabic70,arabic,male,1827,morocco
29,21,arabic71,arabic,female,1828,kuwait
20,11,arabic72,arabic,female,1832,iraq
47,7,arabic73,arabic,female,1841,israel
18,4,arabic74,arabic,male,1870,egypt
26,2,arabic75,arabic,female,1885,saudi arabia
25,4,arabic76,arabic,male,1892,saudi arabia
18,4,arabic77,arabic,female,1894,saudi arabia
19,3,arabic78,arabic,female,1897,usa
24,13,arabic79,arabic,female,1899,saudi arabia
21,17,arabic8,arabic,male,22,morocco
25,11,arabic80,arabic,male,1901,saudi arabia
22,17,arabic81,arabic,male,1914,saudi arabia
42,12,arabic82,arabic,male,1917,syria
22,21,arabic83,arabic,male,1920,saudi arabia
26,12,arabic84,arabic,female,1927,saudi arabia
24,14,arabic85,arabic,female,1963,saudi arabia
28,3,arabic86,arabic,male,1964,egypt
49,10,arabic87,arabic,female,2005,kuwait
19,4,arabic88,arabic,female,2008,lebanon
35,19,arabic89,arabic,female,2022,iraq
28,4,arabic9,arabic,female,23,israel
23,12,arabic90,arabic,female,2036,libya
57,12,arabic91,arabic,female,2086,saudi arabia
36,10,arabic92,arabic,male,2087,iraq
27,10,arabic93,arabic,female,2112,iraq
24,9,arabic94,arabic,female,2114,united arab emirates
31,10,arabic95,arabic,female,2143,kuwait
21,7,arabic96,arabic,male,2153,saudi arabia
19,4,arabic97,arabic,female,2154,united arab emirates
19,4,arabic98,arabic,female,2155,united arab emirates
25,16,arabic99,arabic,female,2157,saudi arabia
19,9,armenian1,armenian,female,24,armenia
44,7,armenian2,armenian,female,435,iran
54,12,armenian3,armenian,female,849,armenia
27,12,armenian4,armenian,female,947,republic of georgia
21,15,armenian5,armenian,female,997,armenia
23,11,armenian6,armenian,male,1228,russia
31,10,armenian7,armenian,male,1505,iran
50,35,armenian8,armenian,female,1710,armenia
42,1,ashanti1,ashanti,female,1977,ghana
24,14,azerbaijani1,azerbaijani,male,25,azerbaijan
42,40,azerbaijani2,azerbaijani,female,434,azerbaijan
31,16,azerbaijani3,azerbaijani,male,1791,azerbaijan
40,30,bafang1,bafang,male,26,cameroon
38,6,bafang2,bafang,male,992,cameroon
31,29,baga1,baga,male,27,guinea
43,40,bai1,bai,female,28,china
15.5,12,bambara1,bambara,female,29,mali
26,18,bambara2,bambara,female,30,mali
22,12,bambara3,bambara,male,413,mali
26,14,bambara4,bambara,male,787,senegal
23,21,bambara5,bambara,female,969,mali
31,15,bamun1,bamun,female,31,cameroon
34,6,bari1,bari,male,1029,sudan
36,7,bari2,bari,male,1030,sudan
69,34,basque1,basque,female,32,spain
50,19,basque2,basque,male,33,spain
54,10,bavarian1,bavarian,female,687,germany
52,10,bavarian2,bavarian,female,1045,germany
25,11,belarusan1,belarusan,male,417,belarus
43,12,belarusan2,belarusan,female,650,belarus
18,6,belarusan3,belarusan,male,2166,belarus
23,16,bengali1,bengali,male,34,bangladesh
18,3,bengali10,bengali,female,1009,bangladesh
34,3.5,bengali11,bengali,male,1018,india
25,4,bengali12,bengali,female,1682,bangladesh
33,10,bengali13,bengali,female,1825,bangladesh
26,4,bengali14,bengali,male,1973,india
46,8,bengali15,bengali,female,2004,bangladesh
24,6,bengali16,bengali,female,2073,bangladesh
19,6,bengali17,bengali,female,2139,bangladesh
25,2,bengali2,bengali,female,35,zambia
19,5,bengali3,bengali,female,36,bangladesh
24,6,bengali4,bengali,male,37,bangladesh
40,5,bengali5,bengali,female,622,bangladesh
29,4,bengali6,bengali,male,624,india
49,6,bengali7,bengali,male,710,bangladesh
54,5,bengali8,bengali,male,709,bangladesh
61,12,bengali9,bengali,female,987,india
39,37,bosnian1,bosnian,male,38,bosnia and herzegovina
21,10,bosnian2,bosnian,male,39,bosnia and herzegovina
25,12,bosnian3,bosnian,female,808,bosnia and herzegovina
20,11,bosnian4,bosnian,male,943,bosnia and herzegovina
25,6,bosnian5,bosnian,female,944,bosnia and herzegovina
29,22,bosnian6,bosnian,female,1025,bosnia and herzegovina
24,10,bosnian7,bosnian,female,1058,bosnia and herzegovina
24,15,bosnian8,bosnian,female,1082,bosnia and herzegovina
47,5,bosnian9,bosnian,male,1289,bosnia and herzegovina
25,16,bulgarian1,bulgarian,female,40,bulgaria
21,15,bulgarian10,bulgarian,female,965,bulgaria
24,16,bulgarian11,bulgarian,male,966,bulgaria
30,9,bulgarian12,bulgarian,female,1446,bulgaria
20,9,bulgarian13,bulgarian,male,1512,bulgaria
46,30,bulgarian14,bulgarian,male,1611,bulgaria
22,10,bulgarian15,bulgarian,male,1859,bulgaria
21,6,bulgarian16,bulgarian,male,1880,bulgaria
31,9,bulgarian17,bulgarian,female,1915,bulgaria
20,10,bulgarian18,bulgarian,male,2024,bulgaria
53,42,bulgarian2,bulgarian,female,41,bulgaria
27,10,bulgarian3,bulgarian,male,42,bulgaria
22,20,bulgarian4,bulgarian,male,43,bulgaria
23,14,bulgarian5,bulgarian,male,44,bulgaria
27,11,bulgarian6,bulgarian,male,557,bulgaria
18,13,bulgarian7,bulgarian,male,566,bulgaria
31,8,bulgarian8,bulgarian,female,848,bulgaria
31,10,bulgarian9,bulgarian,female,923,bulgaria
35,11,burmese1,burmese,female,758,myanmar
29,7,burmese2,burmese,male,1568,myanmar
22,12,cantonese1,cantonese,female,45,china
25,3,cantonese10,cantonese,female,505,china
22,3,cantonese11,cantonese,female,544,china
20,4,cantonese12,cantonese,female,602,china
21,3,cantonese13,cantonese,female,730,china
19,3,cantonese14,cantonese,female,742,china
31,12,cantonese15,cantonese,female,862,china
29,3,cantonese16,cantonese,female,874,china
26,3,cantonese17,cantonese,female,878,china
19,3,cantonese18,cantonese,male,885,china
28,7,cantonese19,cantonese,female,1247,china
20,13,cantonese2,cantonese,male,46,china
18,3,cantonese20,cantonese,male,1480,china
18,4,cantonese21,cantonese,female,1558,china
30,3,cantonese22,cantonese,female,1974,china
33,6,cantonese23,cantonese,male,1975,china
22,6,cantonese3,cantonese,male,47,china
29,13,cantonese4,cantonese,female,48,china
18,14,cantonese5,cantonese,male,49,china
25,5,cantonese6,cantonese,male,462,china
31,4,cantonese7,cantonese,male,494,china
23,2,cantonese8,cantonese,female,498,china
22,7,cantonese9,cantonese,male,502,china
32,6,carolinian1,carolinian,female,50,northern mariana islands
39,13,catalan1,catalan,male,51,spain
24,21,catalan2,catalan,male,598,spain
51,11,catalan3,catalan,female,1186,chile
21,11,catalan4,catalan,female,1414,spain
21,1,cebuano1,cebuano,female,565,philippines
41,5,chaldean1,chaldean,male,1251,iraq
62,11,chaldean2,chaldean,female,1299,iraq
18,1,chamorro1,chamorro,male,52,northern mariana islands
42,7,chichewa1,chichewa,male,1020,malawi
39,12,chittagonian1,chittagonian,male,708,bangladesh
81,16,croatian1,croatian,female,477,croatia
35,10,croatian2,croatian,female,561,bosnia and herzegovina
44,10,croatian3,croatian,female,661,croatia
38,11,croatian4,croatian,male,950,croatia
26,11,croatian5,croatian,female,1063,bosnia and herzegovina
23,14,croatian6,croatian,female,1083,bosnia and herzegovina
21,7,croatian7,croatian,female,1556,croatia
39,22,croatian8,croatian,male,1983,croatia
27,10.5,czech1,czech,female,53,czech republic
60,45,czech2,czech,male,560,czech republic
35,14,czech3,czech,male,653,czech republic
57,15,czech4,czech,female,879,czech republic
26,16,czech5,czech,female,1066,czech republic
20,7,czech6,czech,male,1248,czech republic
22,11,czech7,czech,female,1501,czech republic
21,7,czech8,czech,female,1822,czech republic
38,23,czech9,czech,male,2140,czech republic
45,11,danish1,danish,female,54,denmark
37,8,danish2,danish,female,55,denmark
53,12,danish3,danish,female,1367,denmark
21,11,danish4,danish,female,1434,denmark
49,8,danish5,danish,female,1573,denmark
19,8,danish6,danish,male,1577,denmark
22,8,danish7,danish,male,1717,denmark
28,11,danish8,danish,female,1746,denmark
25,13,dari1,dari,female,56,afghanistan
55,12,dari2,dari,male,642,afghanistan
20,12,dari3,dari,male,968,afghanistan
59,13,dari4,dari,male,1754,afghanistan
56,32,dari5,dari,female,1868,afghanistan
39,33,dinka1,dinka,male,415,sudan
38,13,dutch1,dutch,male,57,netherlands
39,12,dutch10,dutch,male,913,belgium
41,14,dutch11,dutch,male,929,belgium
36,10,dutch12,dutch,male,956,netherlands
33,10,dutch13,dutch,female,1003,netherlands
35,12,dutch14,dutch,female,1004,netherlands
23,10,dutch15,dutch,male,1223,netherlands
23,12,dutch16,dutch,female,1260,belgium
21,12,dutch17,dutch,female,1261,belgium
23,14,dutch18,dutch,male,1262,belgium
22,11,dutch19,dutch,female,1263,belgium
41,14,dutch2,dutch,male,58,netherlands
21,13,dutch20,dutch,female,1264,belgium
21,13,dutch21,dutch,female,1265,belgium
23,13,dutch22,dutch,female,1266,belgium
23,13,dutch23,dutch,male,1268,belgium
23,14,dutch24,dutch,female,1269,south korea
23,13,dutch25,dutch,female,1270,belgium
23,13,dutch26,dutch,female,1271,belgium
21,13,dutch27,dutch,female,1274,belgium
22,8,dutch28,dutch,male,1275,belgium
29,7,dutch29,dutch,male,1300,netherlands
19,6,dutch3,dutch,male,537,netherlands
21,14,dutch30,dutch,female,1462,belgium
23,13,dutch31,dutch,female,1463,belgium
21,14,dutch32,dutch,male,1464,belgium
22,9,dutch33,dutch,female,1466,belgium
22,14,dutch34,dutch,female,1468,belgium
21,13,dutch35,dutch,female,1473,belgium
21,12,dutch36,dutch,female,1476,belgium
21,11,dutch37,dutch,female,1479,belgium
21,12,dutch38,dutch,female,1481,belgium
22,10,dutch39,dutch,female,1482,netherlands
18,10,dutch4,dutch,male,743,belgium
25,9,dutch40,dutch,male,1484,netherlands
41,13,dutch41,dutch,male,1517,netherlands
36,8,dutch42,dutch,male,1551,netherlands
21,11,dutch43,dutch,male,1705,netherlands
21,12,dutch44,dutch,female,1740,belgium
22,2,dutch45,dutch,male,1742,belgium
22,12,dutch46,dutch,female,1743,belgium
37,11,dutch47,dutch,female,2115,netherlands
54,13,dutch5,dutch,female,770,netherlands
46,10,dutch6,dutch,female,847,belgium
68,10,dutch7,dutch,male,895,netherlands
35,12,dutch8,dutch,female,896,netherlands
68,12,dutch9,dutch,female,897,netherlands
35,3,ebira1,ebira,male,59,nigeria
25,6,edo1,edo,male,60,nigeria
42,0,english1,english,male,61,usa
35,0,english10,english,female,62,usa
23,0,english100,english,female,63,usa
18,0,english101,english,female,64,canada
22,0,english102,english,male,65,usa
21,0,english103,english,male,66,usa
18,0,english104,english,female,67,usa
57,0,english105,english,male,407,canada
39,0,english106,english,female,408,usa
19,0,english107,english,male,416,usa
21,0,english108,english,male,419,uk
26,0,english109,english,female,420,usa
35,0,english11,english,female,68,uk
21,0,english110,english,male,421,uk
21,0,english111,english,male,426,india
21,0,english112,english,male,427,us virgin islands
31,0,english113,english,male,439,uk
38,0,english114,english,female,442,usa
31,0,english115,english,male,443,uk
56,0,english116,english,male,444,usa
60,0,english117,english,female,445,usa
19,0,english118,english,male,446,usa
32,0,english119,english,female,455,canada
71,0,english12,english,female,69,uk
65,0,english120,english,male,456,canada
21,0,english121,english,male,465,usa
20,0,english122,english,female,468,malaysia
28,0,english123,english,female,469,usa
38,0,english124,english,male,480,usa
28,0,english125,english,male,485,australia
34,0,english126,english,female,487,usa
39,0,english127,english,male,489,usa
20,0,english128,english,female,490,usa
25,0,english129,english,male,492,uk
69,0,english13,english,male,70,uk
32,0,english130,english,male,496,south africa
23,0,english131,english,male,497,usa
18,0,english132,english,female,503,canada
36,0,english133,english,female,504,usa
22,0,english134,english,female,506,uk
22,0,english135,english,male,507,usa
25,0,english136,english,male,508,canada
26,0,english137,english,male,509,usa
25,0,english138,english,female,510,usa
20,0,english139,english,male,511,usa
40,0,english14,english,male,71,uk
43,0,english140,english,male,515,philippines
19,0,english141,english,male,516,uk
19,0,english142,english,male,517,usa
42,0,english143,english,male,518,usa
24,0,english144,english,male,519,canada
18,0,english145,english,male,521,uk
22,0,english146,english,male,522,usa
40,0,english147,english,female,523,usa
31,0,english148,english,male,525,australia
18,0,english149,english,male,526,usa
7,0,english15,english,female,72,usa
31,0,english150,english,male,527,usa
18,0,english151,english,male,528,usa
18,0,english152,english,male,529,australia
35,0,english153,english,male,533,australia
28,0,english154,english,male,534,canada
35,0,english155,english,male,535,usa
33,0,english156,english,male,536,ireland
35,0,english157,english,male,538,usa
18,0,english158,english,female,540,usa
18,0,english159,english,male,541,canada
21,0,english16,english,male,73,usa
21,0,english160,english,female,542,usa
75,0,english161,english,female,546,usa
41,0,english162,english,female,548,usa
41,0,english163,english,male,547,usa
38,0,english164,english,male,549,uk
43,0,english165,english,female,550,usa
18,0,english166,english,male,551,usa
43,0,english167,english,male,552,usa
40,0,english168,english,male,554,usa
18,0,english169,english,male,555,usa
79,0,english17,english,male,74,usa
50,0,english170,english,female,556,usa
21,0,english171,english,male,563,usa
49,0,english172,english,male,564,jamaica
19,0,english173,english,male,567,usa
30,0,english174,english,female,568,malaysia
24,0,english175,english,male,572,usa
18,0,english176,english,female,573,usa
23,0,english177,english,female,574,usa
30,0,english178,english,male,583,usa
57,0,english179,english,male,584,usa
39,0,english18,english,female,75,usa
20,0,english180,english,male,585,usa
68,0,english181,english,male,586,usa
50,0,english182,english,male,590,usa
55,0,english183,english,female,595,guyana
18,0,english184,english,female,597,usa
38,0,english185,english,male,604,uk
39,0,english186,english,female,605,usa
42,0,english187,english,female,606,usa
35,0,english188,english,male,611,uk
19,0,english189,english,male,617,usa
53,0,english19,english,male,76,usa
27,0,english190,english,male,618,usa
19,0,english191,english,male,631,usa
27,0,english192,english,female,636,usa
32,0,english193,english,male,637,usa
19,0,english194,english,male,638,uk
21,0,english195,english,female,639,usa
50,0,english196,english,female,654,fiji
22,0,english197,english,male,662,usa
56,0,english198,english,male,663,usa
25,0,english199,english,male,664,usa
30,0,english2,english,female,77,uk
27,0,english20,english,female,78,usa
22,0,english200,english,female,667,usa
26,0,english201,english,female,668,usa
19,0,english202,english,male,673,usa
63,0,english203,english,female,674,usa
53,0,english204,english,male,678,usa
45,0,english205,english,female,679,usa
35,0,english206,english,female,680,uk
23,0,english207,english,female,684,usa
46,0,english208,english,male,695,usa
28,0,english209,english,female,702,antigua and barbuda
37,0,english21,english,female,79,usa
23,0,english210,english,female,705,canada
30,0,english211,english,male,720,usa
24,0,english212,english,male,729,usa
38,0,english213,english,male,734,usa
26,0,english214,english,male,737,usa
20,0,english215,english,male,738,uk
48,0,english216,english,female,739,usa
66,0,english217,english,male,740,uk
27,0,english218,english,female,747,usa
38,0,english219,english,female,748,usa
25,0,english22,english,female,80,panama
18,0,english220,english,female,749,usa
45,0,english221,english,male,754,uk
18,0,english222,english,female,764,usa
18,0,english223,english,male,767,usa
20,0,english224,english,male,768,barbados
50,0,english225,english,male,771,uk
38,0,english226,english,male,772,uk
42,0,english227,english,female,773,uk
59,0,english228,english,female,774,uk
25,0,english229,english,male,775,usa
43,0,english23,english,male,81,usa
35,0,english230,english,male,776,australia
22,0,english231,english,male,791,usa
32,0,english232,english,female,798,usa
26,0,english233,english,female,793,canada
49,0,english234,english,male,794,usa
52,0,english235,english,female,795,usa
44,0,english236,english,male,799,usa
22,0,english237,english,female,801,usa
21,0,english238,english,female,802,canada
19,0,english239,english,male,803,panama
37,0,english24,english,male,82,uk
26,0,english240,english,male,815,canada
52,0,english241,english,female,817,new zealand
77,0,english242,english,female,818,usa
27,0,english243,english,male,820,canada
23,0,english244,english,male,821,usa
25,0,english245,english,male,824,usa
32,0,english246,english,male,825,usa
33,0,english247,english,male,835,canada
18,0,english248,english,female,840,usa
29,0,english249,english,female,850,usa
57,0,english25,english,male,83,usa
19,0,english250,english,male,852,uk
21,0,english251,english,male,855,usa
25,0,english252,english,female,856,usa
21,0,english253,english,male,857,ireland
39,0,english254,english,male,858,usa
24,0,english255,english,female,859,new zealand
23,0,english256,english,male,861,usa
24,0,english257,english,male,863,usa
24,0,english258,english,male,869,ireland
23,0,english259,english,male,870,singapore
71,0,english26,english,male,84,usa
18,0,english260,english,female,871,usa
59,0,english261,english,female,875,usa
60,0,english262,english,male,876,usa
21,0,english263,english,male,884,usa
21,0,english264,english,male,889,usa
31,0,english265,english,male,890,usa
18,0,english266,english,male,899,usa
66,0,english267,english,male,900,uk
67,0,english268,english,female,901,uk
22,0,english269,english,female,902,australia
37,0,english27,english,female,85,usa
29,0,english270,english,male,903,south africa
32,0,english271,english,female,904,south africa
20,0,english272,english,male,905,usa
46,0,english273,english,male,907,usa
25,0,english274,english,female,909,australia
20,0,english275,english,female,912,usa
50,0,english276,english,female,918,usa
48,0,english277,english,female,919,usa
18,0,english278,english,female,921,usa
30,0,english279,english,female,922,singapore
54,0,english28,english,male,86,canada
19,0,english280,english,female,935,isle of man
23,0,english281,english,male,937,usa
20,0,english282,english,male,939,usa
18,0,english283,english,male,951,usa
33,0,english284,english,male,952,usa
50,0,english285,english,male,961,australia
21,0,english286,english,female,977,usa
27,0,english287,english,female,981,singapore
26,0,english288,english,female,982,usa
19,0,english289,english,female,983,usa
54,0,english29,english,female,87,canada
20,0,english290,english,male,986,usa
18,0,english291,english,male,1026,belize
38,0,english292,english,male,1051,usa
22,0,english293,english,female,1052,usa
19,0,english294,english,female,1060,australia
25,0,english295,english,male,1067,canada
18,0,english296,english,female,1070,canada
19,0,english297,english,male,1071,usa
22,0,english298,english,male,1072,australia
59,0,english299,english,male,1075,canada
26,0,english3,english,female,88,australia
30,0,english30,english,female,89,canada
18,0,english300,english,male,1076,ireland
41,0,english301,english,male,1078,canada
22,0,english302,english,male,1085,australia
45,0,english303,english,female,1086,usa
20,0,english304,english,female,1088,ireland
24,0,english305,english,female,1094,bolivia
24,0,english306,english,female,1093,uk
48,0,english307,english,male,1100,usa
34,0,english308,english,male,1101,uk
44,0,english309,english,female,1105,new zealand
31,0,english31,english,female,90,trinidad
37,0,english310,english,female,1108,uk
38,0,english311,english,female,1110,usa
40,0,english312,english,female,1113,canada
28,0,english313,english,male,1119,usa
26,0,english314,english,female,1120,usa
25,0,english315,english,male,1121,usa
33,0,english316,english,male,1122,usa
26,0,english317,english,male,1132,usa
46,0,english318,english,male,1137,canada
29,0,english319,english,male,1138,uk
50,0,english32,english,female,91,usa
59,0,english320,english,female,1162,liberia
52,0,english321,english,male,1163,usa
29,0,english322,english,male,1172,canada
31,0,english323,english,female,1173,canada
28,0,english324,english,male,1174,canada
32,0,english325,english,male,1176,usa
53,0,english326,english,male,1188,usa
27,0,english327,english,male,1205,usa
23,0,english328,english,female,1206,usa
21,0,english329,english,female,1207,usa
21,0,english33,english,male,92,usa
18,0,english330,english,female,1208,usa
28,0,english331,english,female,1209,australia
20,0,english332,english,female,1212,usa
32,0,english333,english,female,1214,usa
18,0,english334,english,female,1215,uk
6,0,english335,english,male,1216,usa
46,0,english336,english,female,1217,usa
84,0,english337,english,female,1218,usa
53,0,english338,english,female,1219,australia
54,0,english339,english,male,1220,usa
18,0,english34,english,female,93,usa
19,0,english340,english,male,1222,usa
23,0,english341,english,female,1224,usa
33,0,english342,english,male,1225,usa
23,0,english343,english,male,1226,usa
19,0,english344,english,female,1232,usa
20,0,english345,english,male,1233,usa
60,0,english346,english,male,1235,usa
22,0,english347,english,female,1236,usa
20,0,english348,english,female,1237,philippines
24,0,english349,english,female,1239,usa
60,0,english35,english,female,94,usa
18,0,english350,english,female,1241,uk
37,0,english351,english,male,1242,usa
25,0,english352,english,male,1243,singapore
18,0,english353,english,male,1246,canada
23,0,english354,english,female,1250,new zealand
19,0,english355,english,male,1256,usa
23,0,english356,english,female,1257,canada
24,0,english357,english,male,1258,usa
19,0,english358,english,male,1259,canada
32,0,english359,english,male,1276,canada
60,0,english36,english,male,95,usa
19,0,english360,english,female,1277,usa
20,0,english361,english,female,1280,usa
21,0,english362,english,male,1281,ireland
20,0,english363,english,male,1287,uk
28,0,english364,english,female,1288,australia
52,0,english365,english,male,1292,uk
25,0,english366,english,female,1293,uk
25,0,english367,english,female,1294,uk
43,0,english368,english,male,1295,uk
27,0,english369,english,male,1297,usa
28,0,english37,english,female,96,india
22,0,english370,english,male,1302,india
27,0,english371,english,female,1303,usa
80,0,english372,english,male,1307,usa
22,0,english373,english,male,1308,usa
36,0,english374,english,male,1310,uk
28,0,english375,english,male,1312,usa
46,0,english376,english,male,1315,usa
32,0,english377,english,female,1319,usa
38,0,english378,english,female,1320,usa
43,0,english379,english,male,1321,usa
27,0,english38,english,male,97,uk
34,0,english380,english,female,1323,usa
85,0,english381,english,male,1324,usa
34,0,english382,english,male,1325,usa
32,0,english383,english,female,1326,usa
57,0,english384,english,male,1327,usa
77,0,english385,english,female,1328,usa
56,0,english386,english,female,1330,usa
21,0,english387,english,female,1331,usa
70,0,english388,english,female,1332,usa
71,0,english389,english,female,1333,usa
59,0,english39,english,female,98,usa
74,0,english390,english,male,1334,usa
84,0,english391,english,female,1335,usa
62,0,english392,english,male,1336,usa
58,0,english393,english,female,1337,usa
82,0,english394,english,female,1339,usa
39,0,english395,english,male,1340,usa
48,0,english396,english,female,1341,usa
76,0,english397,english,female,1342,usa
83,0,english398,english,female,1343,usa
80,0,english399,english,female,1345,usa
53,0,english4,english,female,99,jamaica
53,0,english40,english,male,100,uk
59,0,english400,english,female,1348,uk
26,0,english401,english,male,1349,switzerland
26,0,english402,english,female,1350,australia
29,0,english403,english,female,1351,australia
29,0,english404,english,male,1352,australia
32,0,english405,english,female,1353,australia
24,0,english406,english,female,1358,usa
47,0,english407,english,male,1360,canada
64,0,english408,english,male,1361,usa
60,0,english409,english,female,1362,australia
44,0,english41,english,male,101,new zealand
35,0,english410,english,male,1363,new zealand
26,0,english411,english,female,1371,usa
31,0,english412,english,female,1372,usa
20,0,english413,english,female,1373,uk
30,0,english414,english,female,1374,usa
32,0,english415,english,male,1375,usa
34,0,english416,english,male,1377,australia
20,0,english417,english,female,1380,uk
29,0,english418,english,male,1384,virginia
27,0,english419,english,male,1385,usa
65,0,english42,english,male,102,south africa
21,0,english420,english,male,1387,new zealand
38,0,english421,english,male,1388,germany
31,0,english422,english,male,1390,usa
24,0,english423,english,female,1395,usa
75,0,english424,english,male,1409,usa
31,0,english425,english,male,1410,usa
30,0,english426,english,female,1411,usa
68,0,english427,english,female,1412,usa
55,0,english428,english,female,1413,usa
19,0,english429,english,female,1416,usa
47,0,english43,english,male,103,canada
23,0,english430,english,female,1419,australia
23,0,english431,english,female,1423,usa
22,0,english432,english,female,1428,ireland
32,0,english433,english,female,1430,usa
24,0,english434,english,male,1469,usa
20,0,english435,english,female,1471,usa
19,0,english436,english,female,1475,the bahamas
21,0,english437,english,male,1477,usa
20,0,english438,english,female,1492,usa
18,0,english439,english,female,1493,canada
63,0,english44,english,female,104,usa
22,0,english440,english,female,1502,uk
19,0,english441,english,female,1524,usa
23,0,english442,english,male,1528,usa
31,0,english443,english,male,1530,usa
